STATEFIP_1940,COUNTYICP_1940,ENUMDIST,CITY_1940,SEX_1940,MARST_1940,BIRTHYR_1940,RACE_1940,LABFORCE_1940,INCWAGE_1940,OCC1950_1940,EDUC_1940,CITIZEN_1940,NATIVITY_1940,NATIVITY_MOM_1940,NATIVITY_POP_1940,step_1940,STATEFIP_1950,COUNTYICP_1950,CITY_1950,SEX_1950,MARST_1950,BIRTHYR_1950,RACE_1950,LABFORCE_1950,INCWAGE_1950,INCTOT,OCC1950_1950,EDUC_1950,CITIZEN_1950,NATIVITY_1950,NATIVITY_MOM_1950,NATIVITY_POP_1950,step_1950
6,370,6007110,3730,2,6,1921,5,1,0,999,6,0,0,0,0,2,6,370,3730,2,6,1920,5,2,999999,9999999,999,0,0,0,5,5,2
6,370,6007110,3730,2,6,1923,5,1,0,999,5,0,0,0,0,2,6,370,3730,2,6,1923,5,2,999999,9999999,350,0,0,0,5,5,2
6,370,6007110,3730,1,6,1926,5,1,0,999,2,0,0,0,0,1,6,370,3730,1,6,1926,5,2,999999,9999999,930,0,0,0,5,5,1
6,370,6007110,3730,2,6,1929,5,0,999999,999,1,0,0,0,0,2,6,370,3730,2,6,1929,5,2,1750,1750,390,6,0,4,5,5,2
6,370,6007110,3730,1,6,1931,5,0,999999,999,1,0,0,0,0,2,6,370,3730,1,6,1930,5,1,999999,9999999,999,0,0,0,5,5,2
6,370,6007110,3730,1,1,1904,5,2,1300,290,6,3,0,NA,NA,1,6,370,3730,1,1,1903,5,2,4750,4750,690,6,3,5,NA,NA,1
6,370,6007130,3730,1,1,1883,5,2,0,290,6,3,0,NA,NA,1,6,370,3730,1,1,1884,5,1,999999,9999999,999,0,3,0,NA,NA,1
6,370,6007130,3730,2,1,1895,5,2,0,740,6,3,0,NA,NA,2,6,370,3730,2,1,1896,5,2,999998,9999998,740,0,3,5,NA,NA,2
6,370,6007160,3730,2,1,1910,5,1,0,999,4,0,0,NA,NA,2,6,370,3730,2,1,1909,5,1,0,0,999,4,0,4,NA,NA,2
6,370,6007160,3730,1,1,1896,5,2,1560,490,7,3,0,NA,NA,2,6,370,3730,1,1,1901,5,2,999999,9999999,490,0,0,0,NA,NA,2
6,370,6007160,3730,2,1,1907,5,1,0,999,4,3,0,NA,NA,2,6,370,3730,2,1,1908,5,2,999999,9999999,633,0,0,0,NA,NA,2
6,370,6007160,3730,2,6,1931,5,0,999999,999,1,0,0,0,0,2,6,370,3730,2,6,1931,5,1,0,0,999,7,0,4,0,0,2
6,370,6011440,3730,2,1,1906,5,1,0,999,2,3,0,NA,NA,2,6,370,0,2,1,1907,5,1,999999,9999999,999,0,3,0,NA,NA,2
6,370,6011440,3730,1,6,1929,5,0,999999,999,1,0,0,0,0,2,6,370,0,1,6,1929,5,1,0,0,999,7,0,3,0,0,2
6,370,6011820,3730,1,1,1900,5,2,0,290,10,3,0,NA,NA,1,26,1630,0,1,1,1900,5,2,2650,2650,820,10,3,5,NA,NA,1
6,370,6011820,3730,2,1,1905,5,1,0,999,8,3,0,NA,NA,2,26,1630,0,2,1,1905,5,1,999999,9999999,999,0,3,0,NA,NA,2
6,370,6011820,3730,1,6,1925,5,1,0,999,3,0,0,0,0,1,26,1630,0,1,6,1925,5,2,999999,9999999,690,0,0,0,0,5,1
6,370,6011820,3730,1,6,1928,5,0,999999,999,2,0,0,0,0,1,26,1630,0,1,6,1929,5,2,999999,9999999,550,0,0,0,0,5,1
6,370,6011820,3730,2,6,1931,5,0,999999,999,1,0,0,0,0,2,26,1630,0,2,6,1931,5,1,999999,9999999,999,0,0,0,0,5,2
6,370,6011820,3730,1,6,1940,5,0,999999,999,0,0,0,0,0,1,26,1630,0,1,6,1940,5,9,999999,9999999,999,0,0,0,0,5,1
6,370,6011830,3730,2,5,1906,5,1,0,999,8,3,0,NA,NA,2,6,370,3730,2,5,1907,5,1,999999,9999999,999,0,3,0,NA,0,2
6,370,6011830,3730,2,6,1927,5,0,999999,999,2,0,0,0,NA,2,6,370,3730,2,6,1927,5,2,2250,6850,93,10,0,4,0,NA,2
8,10,100050,0,1,1,1880,5,2,0,100,1,3,0,NA,NA,1,8,10,0,1,1,1881,5,1,999999,9999999,999,0,0,0,NA,NA,1
8,10,100050,0,2,1,1892,5,1,0,999,1,3,0,NA,NA,2,8,10,0,2,1,1891,5,1,999999,9999999,999,0,0,0,NA,NA,2
8,10,100050,0,1,6,1921,5,2,0,830,6,0,0,0,0,1,8,10,0,1,1,1921,5,2,999999,9999999,100,0,0,0,0,0,1
8,10,100050,0,2,6,1924,5,1,0,982,3,0,4,0,0,2,8,10,0,2,6,1925,5,2,999999,9999999,830,0,0,0,0,0,2
8,10,100050,0,2,6,1929,5,0,999999,999,2,0,0,0,0,2,8,10,0,2,6,1929,5,2,999999,9999999,830,0,0,0,0,0,2
8,10,100070,0,1,1,1898,5,2,0,100,4,5,0,NA,NA,1,8,10,0,1,1,1900,5,2,0,8750,100,6,3,5,NA,NA,1
8,10,100070,0,1,6,1924,5,1,0,999,4,0,0,0,0,2,8,10,0,1,6,1925,5,2,999999,9999999,830,0,0,0,0,5,2
8,10,100070,0,2,6,1928,5,0,999999,999,2,0,0,0,0,2,8,10,0,2,6,1928,5,2,999999,9999999,830,0,0,0,0,5,2
8,10,100070,0,1,6,1938,5,0,999999,999,0,0,0,0,0,1,8,10,0,1,6,1938,5,0,999999,9999999,830,2,0,4,0,5,1
8,10,100070,0,1,1,1899,5,2,0,201,2,3,0,NA,0,1,8,10,0,1,1,1900,5,2,0,0,100,2,3,5,NA,NA,1
8,10,100070,0,2,1,1901,5,1,0,999,2,3,0,NA,NA,2,8,10,0,2,1,1901,5,2,999999,9999999,830,0,3,0,NA,NA,2
8,10,100070,0,1,6,1932,5,0,999999,999,1,0,0,0,0,1,8,10,0,1,6,1933,5,1,999999,9999999,830,0,0,0,0,5,1
8,10,100070,0,1,6,1937,5,0,999999,999,0,0,0,0,0,2,8,10,0,1,6,1937,5,9,999999,9999999,999,2,0,4,0,5,2
8,10,100090,0,2,6,1938,5,0,999999,999,0,0,0,0,0,2,8,10,0,2,6,1938,5,9,999999,9999999,999,0,0,0,4,0,2
8,10,100090,0,1,1,1875,5,2,0,100,4,3,0,NA,NA,1,8,10,0,1,1,1874,5,2,0,0,999,2,3,5,NA,NA,1
8,10,100090,0,2,1,1878,5,1,0,999,0,3,0,NA,NA,2,8,10,0,2,1,1878,5,1,999999,9999999,999,0,3,0,NA,NA,2
8,10,100090,0,1,1,1890,5,2,0,100,3,3,0,NA,NA,1,8,10,0,1,1,1890,5,2,999999,9999999,100,0,3,0,NA,NA,1
8,10,100090,0,2,1,1902,5,1,0,999,4,0,0,NA,NA,2,8,10,0,2,1,1903,5,1,999999,9999999,999,0,0,0,NA,NA,2
8,10,100090,0,1,6,1919,5,2,0,830,2,0,0,0,0,1,8,10,0,1,6,1921,5,2,550,550,820,0,0,4,0,0,1
8,10,100090,0,1,6,1921,5,2,0,830,2,0,0,0,0,1,8,10,0,1,6,1923,5,2,999999,9999999,820,0,0,0,0,0,1
8,10,100090,0,1,6,1925,5,1,0,999,3,0,0,0,0,1,8,10,0,1,6,1925,5,2,999999,9999999,820,0,0,0,0,0,1
8,10,100090,0,2,6,1940,5,0,999999,999,0,0,0,0,0,2,8,10,0,2,6,1940,5,9,999999,9999999,999,0,0,0,0,0,2
8,10,100090,0,1,1,1886,5,2,0,100,2,3,0,NA,NA,1,8,10,0,1,1,1886,5,2,999999,9999999,830,0,3,0,NA,NA,1
8,10,100090,0,2,1,1889,5,1,0,999,2,3,0,NA,NA,2,8,10,0,2,1,1891,5,2,999999,9999999,999,0,3,0,NA,NA,2
8,10,100090,0,1,6,1915,5,2,0,100,6,0,4,0,0,2,8,10,0,1,1,1915,5,2,0,250,100,6,0,4,0,0,2
8,10,100090,0,1,6,1922,5,1,0,999,4,0,0,0,0,2,8,10,0,1,6,1923,5,2,450,450,820,6,0,4,0,0,2
8,10,100090,0,1,6,1932,5,0,999999,999,1,0,0,0,0,2,8,10,0,1,6,1932,5,2,999999,9999999,820,0,0,0,0,0,2
8,10,100090,0,2,1,1872,5,1,0,999,1,3,0,NA,NA,2,8,10,0,2,1,1872,5,2,0,0,999,1,3,5,NA,NA,2
8,10,100090,0,1,1,1904,5,2,0,100,4,3,0,0,0,1,8,10,0,1,1,1905,5,2,999999,9999999,100,0,3,0,5,0,1
8,10,100090,0,2,1,1914,5,1,0,999,4,0,0,NA,NA,2,8,10,0,2,1,1914,5,1,999999,9999999,999,0,0,0,NA,NA,2
8,10,100090,0,1,6,1936,5,0,999999,999,0,0,0,0,0,1,8,10,0,1,6,1935,5,1,0,0,979,0,0,2,0,0,1
8,10,100090,0,1,6,1938,5,0,999999,999,0,0,0,0,0,1,8,10,0,1,6,1938,5,9,999999,9999999,999,0,0,0,0,0,1
