prev_address,state,county,city,NHGISST,NHGISCTY,ICPSRFIP,STATEFIP,COUNTYICP
71--2,Hawaii,Hawaii,NA,155,0015,0,15.5,15
71--3,Hawaii,Hawaii,NA,155,0015,0,15.5,15
71--4,Hawaii,Hawaii,NA,155,0015,0,15.5,15
72--&,Hawaii,Honolulu,NA,155,0035,0,15.5,35
72--0,Hawaii,Honolulu,NA,155,0035,0,15.5,35
72--1,Hawaii,Honolulu,NA,155,0035,0,15.5,35
72--2,Hawaii,Honolulu,NA,155,0035,0,15.5,35
72--4,Hawaii,Honolulu,NA,155,0035,0,15.5,35
72--5,Hawaii,Honolulu,NA,155,0035,0,15.5,35
73&&0,Hawaii,Kauai,NA,155,0075,0,15.5,75
73--0,Hawaii,Kauai,NA,155,0075,0,15.5,75
73--1,Hawaii,Kauai,NA,155,0075,0,15.5,75
73--2,Hawaii,Kauai,NA,155,0075,0,15.5,75
73--3,Hawaii,Kauai,NA,155,0075,0,15.5,75
73--4,Hawaii,Kauai,NA,155,0075,0,15.5,75
74--&,Hawaii,Maui,NA,155,0095,0,15.5,95
74--0,Hawaii,Maui,NA,155,0095,0,15.5,95
74--1,Hawaii,Maui,NA,155,0095,0,15.5,95
74--2,Hawaii,Maui,NA,155,0095,0,15.5,95
74--4,Hawaii,Maui,NA,155,0095,0,15.5,95
81010,Alaska,First Judicial Dist,NA,025,0015,2900.1,2.5,15
81011,Alaska,First Judicial Dist,Ketchikan,025,0015,2900.1,2.5,15
81012,Alaska,First Judicial Dist,Juneau,025,0015,2900.1,2.5,15
