Year,NHGISST,NHGISCTY,STATENAM,NHGISNAM,ICPSRST,ICPSRCTY,area_base,NHGISST_1950,NHGISCTY_1950,STATENAM_1950,NHGISNAM_1950,ICPSRST_1950,ICPSRCTY_1950,area,weight,US_STATE
1940,180,0390,Indiana,Elkhart,22,390,1211684154.5450718,180,0390,Indiana,Elkhart,22,390,1211684154.5450733,1.0,1
1940,270,1530,Minnesota,Todd,33,1530,2536723975.9526625,270,1530,Minnesota,Todd,33,1530,2536723975.9526634,1.0,1
1940,310,0250,Nebraska,Cass,35,250,1465658068.5048432,310,0250,Nebraska,Cass,35,250,1465658068.5048401,1.0,1
1940,190,1290,Iowa,Mills,31,1290,1141295752.9153924,190,1290,Iowa,Mills,31,1290,1141295752.9153967,1.0,1
1940,310,1530,Nebraska,Sarpy,35,1530,641075476.2382241,310,1530,Nebraska,Sarpy,35,1530,641075476.2382232,1.0,1
1940,380,0770,North Dakota,Richland,36,770,3743698217.7867603,380,0770,North Dakota,Richland,36,770,3743698217.78676,1.0,1
1940,380,0970,North Dakota,Traill,36,970,2233899826.502018,380,0970,North Dakota,Traill,36,970,2233899826.502016,1.0,1
1940,290,0950,Missouri,Jackson,34,950,1596175252.473046,290,0950,Missouri,Jackson,34,950,1596175252.473048,1.0,1
1940,200,0910,Kansas,Johnson,32,910,1242925107.8699653,200,0910,Kansas,Johnson,32,910,1242925107.8699644,1.0,1
1940,290,1010,Missouri,Johnson,34,1010,2157925909.8958817,290,1010,Missouri,Johnson,34,1010,2157925909.8958883,1.0,1
1940,160,0530,Idaho,Jerome,63,530,1559720906.4444776,160,0530,Idaho,Jerome,63,530,1559720906.4444797,1.0,1
1940,160,0830,Idaho,Twin Falls,63,830,4994286467.775642,160,0830,Idaho,Twin Falls,63,830,4994286467.7756195,1.0,1
1940,480,0690,Texas,Castro,49,690,2329175631.5919895,480,0690,Texas,Castro,49,690,2329175631.5919895,1.0,1
1940,480,1170,Texas,Deaf Smith,49,1170,3880782766.8176837,480,1170,Texas,Deaf Smith,49,1170,3880782766.8176804,1.0,1
1940,480,1890,Texas,Hale,49,1890,2602362912.9868016,480,1890,Texas,Hale,49,1890,2602362912.9867992,1.0,1
1940,370,1450,North Carolina,Person,47,1450,1046559201.4172717,370,1450,North Carolina,Person,47,1450,1046559201.4172732,1.0,1
1940,130,0470,Georgia,Catoosa,44,470,420771721.950193,130,0470,Georgia,Catoosa,44,470,420771721.9501922,1.0,1
1940,130,2950,Georgia,Walker,44,2950,1156826037.931447,130,2950,Georgia,Walker,44,2950,1156826037.9314415,1.0,1
1940,350,0170,New Mexico,Grant,66,170,10275913782.186625,350,0170,New Mexico,Grant,66,170,10275913782.186644,1.0,1
1940,350,0510,New Mexico,Sierra,66,510,7964934371.202524,350,0510,New Mexico,Sierra,66,510,7964934371.202506,1.0,1
1940,350,0530,New Mexico,Socorro,66,530,20226826721.34773,350,0530,New Mexico,Socorro,66,530,20226826721.34769,1.0,1
1940,360,0130,New York,Chautauqua,13,130,2809244986.6459594,360,0130,New York,Chautauqua,13,130,2809244986.6459665,1.0,1
1940,360,0290,New York,Erie,13,290,2710184091.624717,360,0290,New York,Erie,13,290,2710184091.62471,1.0,1
1940,420,1230,Pennsylvania,Warren,14,1230,2325305929.3386893,420,1230,Pennsylvania,Warren,14,1230,2325305929.3386974,1.0,1
1940,380,0190,North Dakota,Cavalier,36,190,3910764498.8501654,380,0190,North Dakota,Cavalier,36,190,3910764498.850163,1.0,1
1940,380,0670,North Dakota,Pembina,36,670,2904407611.2195964,380,0670,North Dakota,Pembina,36,670,2904407611.219588,1.0,1
1940,380,0990,North Dakota,Walsh,36,990,3351690717.798911,380,0990,North Dakota,Walsh,36,990,3351690717.7989135,1.0,1
1940,360,0110,New York,Cayuga,13,110,1901559382.707349,360,0110,New York,Cayuga,13,110,1901559382.7073538,1.0,1
1940,360,0670,New York,Onondaga,13,670,2086541494.3590431,360,0670,New York,Onondaga,13,670,2086541494.35904,1.0,1
1940,360,0750,New York,Oswego,13,750,2628171153.820767,360,0750,New York,Oswego,13,750,2628171153.8207684,1.0,1
1940,360,0990,New York,Seneca,13,990,1011269330.7054199,360,0990,New York,Seneca,13,990,1011269330.7054219,1.0,1
1940,360,1090,New York,Tompkins,13,1090,1273126299.8617554,360,1090,New York,Tompkins,13,1090,1273126299.8617575,1.0,1
1940,360,1170,New York,Wayne,13,1170,1571585394.1487281,360,1170,New York,Wayne,13,1170,1571585394.14873,1.0,1
1940,240,0150,Maryland,Cecil,52,130,925158376.0014731,240,0150,Maryland,Cecil,52,130,925158376.0014741,1.0,1
1940,240,0290,Maryland,Kent,52,270,731211898.65885,240,0290,Maryland,Kent,52,270,731211898.6588464,1.0,1
1940,100,0030,Delaware,New Castle,11,30,1121833649.0389328,100,0030,Delaware,New Castle,11,30,1121833649.0389342,1.0,1
1940,190,0310,Iowa,Cedar,31,310,1507112360.0865397,190,0310,Iowa,Cedar,31,310,1507112360.0865395,1.0,1
